product_name,product_price,product_image,product_url,product_brand
'Air Jordan 3 South Korea' Sneakers,7.232,https://cdn-images.farfetch-contents.com/15/65/12/84/15651284_28537787_300.jpg,/de/shopping/men/jordan-air-jordan-3-south-korea-sneakers-item-14503563.aspx,Jordan
'Dunk High Premium SB' Sneakers,7.232,https://cdn-images.farfetch-contents.com/15/63/30/86/15633086_28646232_300.jpg,/de/shopping/men/nike-dunk-high-premium-sb-sneakers-item-14164687.aspx,Nike
'PW Human Race NMD TR' Sneakers,6.857,https://cdn-images.farfetch-contents.com/15/63/30/86/15633086_28644943_300.jpg,/de/shopping/men/adidas-by-pharrell-williams-pw-human-race-nmd-tr-sneakers-item-14164790.aspx,adidas by Pharrell Williams
Wanderstiefel aus Krokodilleder,6.670,https://cdn-images.farfetch-contents.com/14/16/46/95/14164695_21073120_300.jpg,/de/shopping/men/guidi-wanderstiefel-aus-krokodilleder-item-12195642.aspx,Guidi
'Caiden' Loafer mit Kroko-Optik,6.650,https://cdn-images.farfetch-contents.com/14/16/46/95/14164695_21073119_300.jpg,/de/shopping/men/ralph-lauren-purple-label-caiden-loafer-mit-kroko-optik-item-15931087.aspx,Ralph Lauren Purple Label
'Caiden' Loafer mit Kroko-Optik,6.650,https://cdn-images.farfetch-contents.com/14/16/48/03/14164803_21073500_300.jpg,/de/shopping/men/ralph-lauren-purple-label-caiden-loafer-mit-kroko-optik-item-15931038.aspx,Ralph Lauren Purple Label
'Dunk Low Pro SB' Sneakers,5.791,https://cdn-images.farfetch-contents.com/14/16/48/03/14164803_21073501_300.jpg,/de/shopping/men/nike-dunk-low-pro-sb-sneakers-item-14155583.aspx,Nike
'Tiziano' Sneakers mit Kroko-Optik,5.000,https://cdn-images.farfetch-contents.com/13/67/82/13/13678213_17193473_300.jpg,/de/shopping/men/ermenegildo-zegna-xxx-tiziano-sneakers-mit-kroko-optik-item-14696744.aspx,Ermenegildo Zegna XXX
'Money Beast' High-Top-Sneakers,4.998,https://cdn-images.farfetch-contents.com/13/67/82/13/13678213_17193474_300.jpg,/de/shopping/men/philipp-plein-money-beast-high-top-sneakers-item-15576413.aspx,Philipp Plein
'Money Beast' Sneakers mit Flammen,4.998,https://cdn-images.farfetch-contents.com/15/94/46/62/15944662_29760809_300.jpg,/de/shopping/men/philipp-plein-money-beast-sneakers-mit-flammen-item-15543976.aspx,Philipp Plein
